,As75,Cd111,Co59,Cu65,DTF spain 2009 (1st experiment),DTF spain 2009 (2nd experiment),DTF sweden 2009 (1st experiment),DTF sweden 2009 (2nd experiment),DTFmainEffect2009,FT16,K39,Mg25,Mn55,Mo98,Na23,Ni60,P31,Rb85,S34,Se82,Zn66
ath_circ_016990,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ath_circ_001042,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ath_circ_016524,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ath_circ_007117,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ath_circ_009074,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ath_circ_015898,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ath_circ_022696,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ath_circ_027237,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ath_circ_045954,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ath_circ_030532,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ath_circ_035941,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ath_circ_017814,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ath_circ_034402,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ath_circ_018455,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ath_circ_014629,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ath_circ_006289,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ath_circ_041671,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
